WDPA_PID,WDPAID,NAME,ISO3,IUCN_CAT,MARINE,GIS_M_AREA
18422_B,18422,TAHSISH RIVER ECOLOGICAL RESERVE,CAN,Ia,2,0.108677050418949
18422_A,18422,TAHSISH RIVER ECOLOGICAL RESERVE,CAN,Ia,1,0.225813480389985
18424_A,18424,TEN MILE POINT ECOLOGICAL RESERVE,CAN,Ia,1,0.003194769630026
18424_B,18424,TEN MILE POINT ECOLOGICAL RESERVE,CAN,Ia,2,0.134829567895116
18426_B,18426,TOW HILL ECOLOGICAL RESERVE,CAN,Ia,1,0.272942467879716
18432_B,18432,VLADIMIR J. KRAJINA (PORT CHANAL) ECOLOGICAL RESERVE,CAN,Ia,2,10.7154205404673
18638_B,18638,FIORDLAND CONSERVANCY,CAN,Ib,2,70.8887546507213
18669,18669,Sable Island Migratory Bird Sanctuary,CAN,Ia,1,3.26792570385764
18682_B,18682,Moose River Migratory Bird Sanctuary,CAN,Ib,1,1.14293289859456
18699_B,18699,Akimiski Island Migratory Bird Sanctuary,CAN,Ib,2,1380.32971327415
18700_B,18700,Banks Island Migratory Bird Sanctuary No. 1,CAN,Ib,2,807.992117586621
18701_A,18701,Banks Island Migratory Bird Sanctuary No. 2,CAN,Ia,1,23.6652987235494
18701_B,18701,Banks Island Migratory Bird Sanctuary No. 2,CAN,Ia,2,32.8502298446099
18703,18703,Dewey Soper Migratory Bird Sanctuary,CAN,Ib,1,1314.28510409893
18716,18716,Bird Island Marine Sanctuary,MNP,Ia,2,1.34123702497991
18738,18738,Estação Ecológica De Guaraqueçaba,BRA,Ia,1,6.88492601541088
18739,18739,Estação Ecológica Tupinambás,BRA,Ia,2,24.0459681414369
18740,18740,Estação Ecológica Dos Tupiniquins,BRA,Ia,2,16.972978339256
18943,18943,Ilheus das Formigas,PRT,Ib,2,523.822169062773
19961_B,19961,Prince Leopold Island Migratory Bird Sanctuary,CAN,Ib,2,239.943413221757
19962_B,19962,Cape Parry Migratory Bird Sanctuary,CAN,Ia,1,1.11574811804489
